country,crop,mean_yield,cv_yield,detrended_cv
UA,wheat,3753.5599999999995,15.055941209787651,8.55987094003145
UA,maize,6243.866666666667,16.539376550646338,12.12880645923167
US,wheat,3150.0333333333333,5.836024932105522,5.3524941767926295
US,maize,10423.1,9.172523201536,7.242856936725166
PL,wheat,4622.6866666666665,9.261995377776893,6.714550385329692
PL,maize,6600.326666666667,11.562889387332524,11.32518530048464
DE,wheat,7571.119999999999,6.026693214691368,5.990905757837424
DE,maize,9549.18,8.683961223770153,8.438102741385748
FR,wheat,7038.246666666668,8.12293888580866,8.09961918621139
FR,maize,8935.906666666668,9.204548376262272,9.141512761554207
RO,wheat,3774.7000000000003,21.07703910129559,15.819785197938204
RO,maize,4568.246666666668,29.58329920684703,28.296544159018588
HU,wheat,4850.033333333334,14.394182038403558,8.924894289763262
HU,maize,6694.173333333333,23.241206994833203,22.802589836845712
IT,wheat,3882.326666666667,4.54442094398111,4.484965089823651
IT,maize,9700.24,9.651267600972934,8.50492845399525
ES,wheat,3164.2200000000003,19.931122922152593,19.743127736265077
ES,maize,11430.726666666664,5.61287522042758,3.4150513876187976
NL,wheat,8740.626666666669,5.747845003323588,5.7448984747289185
NL,maize,10754.599999999999,19.466944872208575,14.783388065301326
UK,wheat,7953.333333333333,8.025228063824692,7.748939620961005
CA,wheat,3132.866666666667,10.695413109567163,10.37447360546156
CA,maize,9578.019999999999,5.033550398347331,3.9049727944029957
BR,wheat,2589.5333333333333,13.105418966260013,12.39801282280266
BR,maize,5034.433333333333,12.586673630115985,9.51012758800291
AR,wheat,2897.48,14.03322180854757,13.813215548133861
AR,maize,6800.846666666665,12.371547404145076,12.308082355406953
CN,wheat,5341.34,7.068434555347338,1.40249724545392
CN,maize,6008.5666666666675,5.690959999647773,1.8186870812268041
IN,wheat,3207.7200000000007,8.097722031227352,4.329111585405703
IN,maize,2794.18,13.92364647135001,4.762741953880293
KZ,wheat,1115.866666666667,19.50727085672587,19.48803031392407
KZ,maize,5495.073333333333,7.746510910923108,1.8724008630538747
TR,wheat,2761.1,7.2642362225787735,5.119377476655229
TR,maize,8740.686666666668,10.481158483242115,6.4071782500838355
ZA,wheat,3501.4199999999996,13.845699637401651,11.68916645833334
ZA,maize,4950.046666666666,16.46267844695512,13.256993612593801
AU,wheat,2082.846666666667,23.197035422580797,18.48014910809954
AU,maize,6635.473333333332,14.53695965811708,14.256759987580944
EG,wheat,6526.906666666666,5.38017830453645,4.409134578363304
EG,maize,7461.073333333334,9.269674555574724,9.09469804985422
